0
5
60
18
-169.5470120000 -14.3314805222
-169.5060580000 -14.3134731938
-169.3939510000 -14.3195562751
-169.3692020000 -14.3412217043
-169.3706670000 -14.4296866274
-169.3877870000 -14.4517265892
-169.4738620000 -14.4679694763
-169.5065610000 -14.4612178947
-169.5533750000 -14.4135764269
-169.5661320000 -14.3815997509
-169.5665440000 -14.3695914468
-169.6002040000 -14.3863031719
-169.6626130000 -14.3837549149
-169.7248230000 -14.3383975036
-169.7196660000 -14.2807378313
-169.6089780000 -14.2510332726
-169.5676270000 -14.2657484540
-169.5470120000 -14.3314805222
60
9
-168.1891170000 -14.7325917927
-168.1848600000 -14.8016248390
-168.1591030000 -14.8249078956
-168.0857240000 -14.8111833574
-168.0705570000 -14.7714429061
-168.0872190000 -14.7214206645
-168.1302800000 -14.6977783620
-168.1468960000 -14.6993827459
-168.1891170000 -14.7325917927
60
12
-170.6681980000 -14.5305501798
-170.6427920000 -14.4924293530
-170.5196690000 -14.4850340420
-170.4947200000 -14.4615677502
-170.4903410000 -14.4327306965
-170.5068510000 -14.3992223354
-170.5218200000 -14.3684989694
-170.6416630000 -14.3238510381
-170.6766360000 -14.3252960518
-170.7500000000 -14.3901173560
-170.7999880000 -14.3960043422
-170.6681980000 -14.5305501798
60
8
-170.6681980000 -14.5305501798
-170.7999880000 -14.3960043422
-170.8504490000 -14.4144018759
-170.8750000000 -14.4380883550
-170.8892520000 -14.4827076385
-170.7598570000 -14.5727608852
-170.7390140000 -14.5746338838
-170.6681980000 -14.5305501798
60
9
-171.1124270000 -11.1785836858
-171.0988010000 -11.1134636226
-171.0836490000 -11.1004529284
-171.0000000000 -11.1039495606
-170.9892580000 -11.1120799996
-170.9894100000 -11.1960433009
-171.0439610000 -11.2139360892
-171.0682070000 -11.2123094275
-171.1124270000 -11.1785836858
