5
Hawaii County
-157.9578250000 22.3047809992
-157.8874970000 22.2501419994
-157.8501890000 22.1678226454
-157.7646790000 22.0548857938
-157.7500000000 22.0398568720
-157.7092290000 22.0475576566
-157.6616060000 22.0208322724
-157.6455990000 21.9967592610
-157.6522980000 21.9645233451
-157.6000370000 21.8231357518
-157.6036680000 21.7933533590
-157.6678160000 21.7257659788
-157.7427060000 21.7224544138
-157.7940980000 21.7061014262
-157.8480530000 21.7118486465
-157.9006960000 21.7567695365
-157.9640960000 21.7655681099
-158.1250000000 21.7458374549
-158.1567990000 21.7651378268
-158.1913450000 21.8689215397
15
10
-161.8750000000 23.6656175384
-161.9319000000 23.6495987350
-161.9551700000 23.6537868790
-161.9760590000 23.6716000501
-161.9875490000 23.7198069796
-161.9825290000 23.7430157414
-161.9194340000 23.7677112343
-161.8677060000 23.7428809414
-161.8588870000 23.7178505290
-161.8750000000 23.6656175384
15
9
-167.9463350000 25.8332534928
-167.9667660000 25.7834859353
-167.9835360000 25.7772851610
-168.0503390000 25.8051059332
-168.0546570000 25.8501119490
-168.0222320000 25.8847689660
-167.9889370000 25.8873838878
-167.9620060000 25.8699082505
-167.9463350000 25.8332534928
15
11
-171.7500000000 26.6192438333
-171.6998440000 26.6265559173
-171.6804810000 26.6486389158
-171.6776730000 26.6633466846
-171.6766200000 26.7309860215
-171.6882780000 26.7452741634
-171.7500000000 26.7560485067
-171.7869720000 26.7436444237
-171.8096310000 26.6981564994
-171.8013460000 26.6633466846
-171.7500000000 26.6192438333
15
10
-174.0000000000 26.9332787875
-174.0431060000 26.9412024983
-174.0674590000 26.9996104681
-174.0524750000 27.0669737419
-174.0189060000 27.0903708210
-173.9695430000 27.0919180033
-173.9260560000 27.0717036067
-173.9038240000 27.0154998212
-173.9131470000 26.9812589705
-174.0000000000 26.9332787875
15
10
-164.7500000000 24.2328116539
-164.7012940000 24.2065622202
-164.6638790000 24.2174935384
-164.6400150000 24.2710399094
-164.6446080000 24.2911486919
-164.6687620000 24.3152504365
-164.7097930000 24.3224637426
-164.7580870000 24.2959621685
-164.7649080000 24.2697742712
-164.7500000000 24.2328116539
15
15
-178.4157260000 29.6114856713
-178.4114840000 29.5951897879
-178.3956150000 29.5738740183
-178.3014070000 29.5584625134
-178.2500000000 29.5798380546
-178.2388610000 29.5966887036
-178.2322240000 29.6709828176
-178.2384640000 29.7037519985
-178.2888340000 29.7536382552
-178.2915190000 29.7618404694
-178.3606260000 29.7693638309
-178.4275820000 29.7150732814
