20
Jefferson County
-101.4148710000 31.1791212884
-101.3726270000 31.1254654143
-101.3601460000 31.0688518802
-101.3460160000 31.0835731776
-101.3025130000 31.0699760781
-101.3119960000 30.9959403926
-101.2951200000 30.9803322367
-101.2679210000 31.0472238392
-101.2473220000 31.0332272476
-101.2420810000 30.9710883777
-101.2608340000 30.9314136745
-101.2503810000 30.9208038633
-101.1795730000 30.9154694432
-101.1716610000 30.9015542166
-101.1457210000 30.8669928222
-101.0600360000 30.8492588739
-101.0099790000 30.7457586172
-100.9473570000 30.7203840156
-100.8863140000 30.6758472141
-100.8760450000 30.6440432931
-100.8139800000 30.6251991555
-100.7948230000 30.6004477572
-100.7585220000 30.5968217350
-100.7389910000 30.6462388013
-100.7463680000 30.6960873403
-100.7109600000 30.7131613616
-100.6997600000 30.8035788219
-100.6999280000 31.0394563101
-100.7003940000 31.8062831633
-100.9606400000 31.8057041251
48
25
-98.9523930000 36.4479849995
-98.9678120000 36.4342065120
-98.9907380000 36.4588627958
-99.0433580000 36.4307473703
-99.0758360000 36.4464758650
-99.1278310000 36.4371313375
-99.1283490000 36.4556471040
-99.1897740000 36.4502306039
-99.2128450000 36.6024776243
-99.2298580000 36.6029402614
-99.2428890000 36.6408582340
-99.2744140000 36.6560097600
-99.2609710000 36.6786158510
-99.3183590000 36.6850420680
-99.3689350000 36.7458531319
-99.3948290000 36.7265071425
-99.3872910000 36.6888941149
-99.3996960000 36.6447776641
-99.4248960000 36.6577934392
-99.4349210000 36.6393886381
-99.4751130000 36.6700437515
-99.4752960000 36.2946692485
-99.4756470000 35.9913109145
-98.9530490000 35.9915553005
-98.9523930000 36.4479849995
48
48
-98.7983250000 28.4565894824
-98.8033220000 29.2511456359
-99.3889470000 29.2204812444
-99.3891750000 29.2305813770
-99.3941800000 29.4180022249
-100.1137160000 29.4102783497
-100.2121890000 29.4091629843
-100.0833890000 29.3492671503
-100.0506360000 29.2796403903
-100.0179140000 29.2594260277
-99.9897610000 29.1779599671
-99.9312290000 29.1627911364
-99.9346160000 29.1161074183
-99.8963090000 29.0786917984
-99.9035030000 29.0412717729
-99.8759990000 29.0026542588
-99.8767620000 28.9572885804
-99.8496630000 28.9511989629
-99.8351290000 28.9177673985
-99.8130870000 28.9302804244
-99.7915340000 28.8827135178
-99.7682420000 28.8804472178
-99.6993560000 28.7963829299
-99.6894000000 28.8112231388
-99.6614690000 28.7948633318
-99.6648180000 28.7735514150
-99.6504360000 28.7683128973
-99.6253200000 28.7689765886
-99.6234820000 28.7836486892
-99.5940400000 28.7773689793
-99.5775990000 28.7525749765
-99.5845260000 28.7381062998
-99.5546420000 28.7498404576
-99.5111160000 28.6937752702
-99.5258180000 28.6173208866
-99.4948200000 28.6199149417
-99.4804150000 28.6002990974
-99.5048370000 28.4388691949
-99.5376050000 28.4133278136
-99.4918210000 28.3962314814
-99.4867400000 28.3509376790
-99.4537960000 28.3564590082
-99.3753130000 28.4139761045
-99.3354640000 28.3682157066
-98.9546430000 28.3613426853
-98.7980880000 28.3597822729
-98.7981110000 28.3693981879
-98.7983250000 28.4565894824
48
21
-95.8302380000 32.2030476247
-95.5990300000 32.0622167100
-95.3590320000 32.0569182396
-95.3274840000 32.4697923719
-95.3448260000 32.4885118901
-95.3558730000 32.4653890576
-95.3983610000 32.4699542960
-95.3987660000 32.4962671730
-95.3812560000 32.5018614247
-95.4154430000 32.5270034803
-95.4114070000 32.5528378514
-95.4343410000 32.5615058238
-95.4347840000 32.7013405239
-95.6178740000 32.5523936869
-95.6118930000 32.5378969449
-95.6296010000 32.5170364143
-95.6546860000 32.5090186538
-95.7161410000 32.5298625329
-95.8291630000 32.4728561560
-95.8630600000 32.4751359920
-95.8302380000 32.2030476247
48
8
-101.0860670000 38.1710373907
-101.0859380000 38.1634532017
-100.5402150000 38.1636930819
-100.5402220000 38.7029920833
-100.5467220000 38.7030489832
-101.0857160000 38.7043267665
-101.0857320000 38.7014867211
-101.0860670000 38.1710373907
48
20
-95.1521070000 34.8758695543
-95.1534120000 34.4808025592
-95.1201170000 34.4486821674
-95.0857770000 34.4661690377
-95.0760570000 34.4421211795
-95.0450670000 34.4476869020
-95.0417860000 34.4359674326
-95.0214000000 34.4533335844
-95.0128250000 34.4175937098
-94.9875950000 34.4417854898
-94.8204190000 34.5057600070
-94.7587200000 34.5873475240
-94.7020420000 34.5785937598
-94.7021410000 34.7456837142
-94.6951450000 34.7823148843
-94.6723860000 34.7954484673
-94.6978760000 34.8055639623
-94.7058790000 34.8481444038
-94.7200390000 34.8783005117
-95.1521070000 34.8758695543
48
60
-97.7985310000 29.1810981516
-97.8168030000 29.1536352611
-97.8066330000 29.1124740025
-97.7761230000 29.1276320595
-97.7633210000 29.1002932261
-97.7296680000 29.0985967061
-97.7362750000 29.0864489973
-97.6908950000 29.0923518138
-97.6758730000 29.0540270585
-97.6372680000 29.0338092737
-97.6304470000 29.0675655177
-97.6143720000 29.0649009274
-97.5937730000 29.0262148910
-97.4894100000 29.0036290761
-97.5196610000 29.0286693839
-97.5079800000 29.0477109050
-97.4919510000 29.0520540033
-97.4808120000 29.0273154479
-97.4604950000 29.0297394224
-97.4596020000 29.0481815224
-97.4453130000 29.0398566119
-97.3371660000 29.0533776664
-97.3617100000 29.0164403889
-97.2980650000 29.0466146901
-97.2529750000 29.0472052195
-97.2276310000 29.0127861784
-97.2222370000 29.0206579650
-97.2203290000 29.0022007791
-97.2449260000 29.0012418051
-97.2080080000 28.9845062019
-97.1873400000 28.9879978745
-97.1362150000 29.0775455173
-97.2608180000 29.2718618381
-97.2899400000 29.3156902651
-97.3164670000 29.3104183200
-97.3170850000 29.3417426993
-97.3249970000 29.3217470486
-97.3402560000 29.3356044080
-97.3448260000 29.3206529049
-97.3774190000 29.3431262107
-97.3831100000 29.3272451277
