20
Wagoner County
-94.4813610000 37.7826252724
-94.4945530000 37.7730662414
-94.5948030000 37.8059673468
-94.6334300000 37.7640545648
-94.6687930000 37.7655970901
-94.6848830000 37.8051314179
-94.7564160000 37.8413181531
-94.8136290000 37.8002961609
-94.8142850000 37.6560149464
-94.9263000000 37.6523593538
-94.9278640000 37.4759491687
40
15
-95.0076220000 39.8765687165
-95.4076840000 39.8762243820
-95.4078980000 39.8053918246
-95.4317320000 39.8055544798
-95.4318850000 39.7548645410
-95.4315110000 39.3745813206
-95.3283000000 39.3672887636
-95.3280260000 39.2659153687
-95.0057140000 39.2653169260
-94.9995650000 39.4657158344
-94.9992980000 39.8060737270
-94.9931870000 39.8134673634
-95.0373540000 39.8446097645
-95.0343170000 39.8695996289
-95.0076220000 39.8765687165
40
64
-95.1564410000 36.3809298847
-95.1558840000 36.1151782934
-95.1232990000 36.1111140269
-95.1226730000 36.0769260788
-95.0769810000 36.0879850020
-95.1003490000 36.0664249392
-95.0905910000 36.0485443877
-95.0687260000 36.0920037660
-95.0725780000 36.0657442576
-95.0724110000 36.0740452669
-95.0612490000 36.0742790061
-95.0490260000 36.0275381417
-95.0086520000 36.0296324311
-94.9904630000 36.0124289688
-94.9714360000 36.0251681174
-94.9646610000 35.9957340295
-94.9446790000 35.9877619657
-94.9436650000 35.9579534594
-94.9253620000 35.9605602308
-94.9192580000 35.9834354955
-94.9219590000 35.9402842727
-94.8759990000 35.8986052769
-94.8701860000 35.9146601308
-94.8771210000 35.8939890820
-94.8224720000 35.8694466151
-94.8272780000 35.9105400246
-94.8074720000 35.8703905407
-94.7637480000 35.9022064854
-94.7582700000 35.8896028059
-94.7881010000 35.8739691191
-94.7526550000 35.8717854019
-94.7524640000 35.8469031878
-94.7356490000 35.8624005136
-94.7537990000 35.8394054334
-94.7203060000 35.8168649590
-94.7349400000 35.8484167496
-94.7011260000 35.8326053917
-94.7179260000 35.8172459415
-94.6492540000 35.8137931140
-94.6412280000 35.8300559422
-94.6452410000 35.7986839948
-94.6709290000 35.7907776134
-94.6400530000 35.7864593985
-94.6220250000 35.8091266323
-94.5968700000 35.7865374948
-94.5905460000 35.8135551580
-94.5798800000 35.7921017099
-94.5621640000 35.7928166329
-94.5883180000 35.7683390403
-94.5457230000 35.7788795292
-94.5703660000 35.7454021131
-94.5232540000 35.7594031715
-94.5351720000 35.7353273759
-94.5222240000 35.7296293207
-94.5175480000 35.7495852968
-94.4930650000 35.7394368951
-94.4871060000 35.7550598421
-94.4611510000 36.8052930490
-94.9376070000 36.8045989208
-95.0467610000 36.7963631864
-95.0465850000 36.4856879672
-95.0601880000 36.4856794993
-95.1512760000 36.4855633683
-95.1564410000 36.3809298847
40
8
-94.6180800000 39.4621963057
-94.9995650000 39.4657158344
-95.0057140000 39.2653169260
-95.0113070000 38.8333368948
-94.7972790000 38.8328303029
-94.5628050000 38.8332799186
-94.6179280000 39.2532431125
-94.6180800000 39.4621963057
40
20
-99.2951890000 39.6515129291
-99.2702180000 39.6142459856
-99.1474460000 39.6094448899
